drug_a,drug_b,label
epinephrine,tricyclic antidepressants,effect
norepinephrine,monoamine oxidase inhibitors,effect
norepinephrine,tricyclic antidepressants,effect
Phenothiazines,epinephrine,effect
butyrophenones,epinephrine,effect
Corticotropin,diuretic,effect
anesthetic solutions,tricyclic antidepressants,effect
anesthetic solutions,phenothiazines,effect
epinephrine,monoamine oxidase inhibitors,effect
epinephrine,tricyclic antidepressants,effect
epinephrine,phenothiazines,effect
norepinephrine,monoamine oxidase inhibitors,effect
norepinephrine,tricyclic antidepressants,effect
norepinephrine,phenothiazines,effect
vasopressor drugs,ergot-type oxytocic drugs,effect
chloroprocaine,sulfonamide drug,advise
Beta-adrenergic blocking agents,arbutamine,advise
Nabilone,psychoactive drugs,advise
Nabilone,CNS depressants,advise
Nabilone,alcohol,advise
Nabilone,barbiturates,advise
Nabilone,narcotic analgesics,advise
Nabilone,diazepam,effect
Nabilone,secobarbitone sodium,effect
Nabilone,alcohol,effect
Nabilone,codeine,effect
HMG-CoA reductase inhibitors,Fentanyl,advise
diuretics,enalapril,effect
diuretics,enalaprilat,effect
enalapril,diuretic,effect
enalaprilat,diuretic,effect
enalapril,antihypertensive agents,effect
enalapril,diuretics,effect
enalapril,antihypertensive agents,effect
enalapril,diuretics,effect
nonsteroidal anti-inflammatory drugs,enalapril,effect
NSAIDs,ACE inhibitors,effect
NSAIDs,ACE inhibitors,advise
Enalapril,thiazide-type diuretics,effect
enalapril,thiazide-type diuretics,effect
lithium,ACE inhibitors,effect
enalapril,lithium,advise
diclofenac,aspirin,advise
diclofenac,aspirin,mechanism
diclofenac,NSAIDs,advise
NSAIDs,warfarin,advise
diclofenac,warfarin,advise
diclofenac,digoxin,mechanism
diclofenac,methotrexate,mechanism
diclofenac,cyclosporine,effect
diclofenac,digoxin,effect
diclofenac,methotrexate,effect
diclofenac,cyclosporine,effect
NSAID,digoxin,effect
NSAID,methotrexate,effect
NSAID,cyclosporine,effect
Diclofenac,lithium,mechanism
Diclofenac,lithium,mechanism
diclofenac,lithium,effect
insulin,diclofenac,effect
hypoglycemic agents,diclofenac,effect
diclofenac,insulin,effect
diclofenac,hypoglycemic agents,effect
Diclofenac,diuretics,effect
NSAIDs,diuretics,effect
phenobarbital,diclofenac,effect
diclofenac,salicylic acid,mechanism
diclofenac,tolbutamide,mechanism
diclofenac,prednisolone,mechanism
diclofenac,warfarin,mechanism
Aprepitant,S(-) warfarin,mechanism
Aprepitant,tolbutamide,mechanism
Aprepitant,phenytoin,mechanism
Aprepitant,dexamethasone,mechanism
Aprepitant,dexamethasone,mechanism
dexamethasone,Aprepitant,advise
dexamethasone,Aprepitant,mechanism
Aprepitant,methylprednisolone,mechanism
methylprednisolone,Aprepitant,advise
methylprednisolone,Aprepitant,advise
S(-)warfarin,Aprepitant,mechanism
warfarin,Aprepitant,advise
tolbutamide,Aprepitant,mechanism
Aprepitant,ethinyl estradiol,mechanism
Aprepitant,norethindrone,mechanism
contraceptives,Aprepitant,effect
Aprepitant,contraceptives,advise
Aprepitant,midazolam,mechanism
midazolam,Aprepitant,advise
benzodiazepines,Aprepitant,advise
alprazolam,Aprepitant,advise
triazolam,Aprepitant,advise
Aprepitant,midazolam,mechanism
Aprepitant,midazolam,mechanism
Aprepitant,ketoconazole,advise
Aprepitant,itraconazole,advise
Aprepitant,nefazodone,advise
Aprepitant,troleandomycin,advise
Aprepitant,clarithromycin,advise
Aprepitant,ritonavir,advise
Aprepitant,nelfinavir,advise
diltiazem,aprepitant,advise
Aprepitant,rifampin,mechanism
Aprepitant,phenytoin,mechanism
Aprepitant,aprepitant,mechanism
Aprepitant,ketoconazole,mechanism
Aprepitant,rifampin,mechanism
aprepitant,diltiazem,mechanism
aprepitant,paroxetine,mechanism
FLEXERIL,MAO inhibitors,int
FLEXERIL,alcohol,effect
FLEXERIL,barbiturates,effect
FLEXERIL,CNS depressants,effect
Tricyclic antidepressants,guanethidine,effect
Tricyclic antidepressants,tramadol,effect
Zarontin,antiepileptic drugs,int
ethosuximide,antiepileptic drugs,int
ethosuximide,phenytoin,mechanism
valproic acid,ethosuximide,mechanism
interferon beta-1a,TYSABRI,mechanism
AVONEX,TYSABRI,mechanism
Robinul,anticholinergics,effect
Robinul,phenothiazines,effect
Robinul,antiparkinson drugs,effect
Robinul,tricyclic antidepressants,effect
Robinul,potassium chloride,mechanism
Tetracycline,penicillin,effect
Itraconazole,busulfan,mechanism
Phenytoin,busulfan,mechanism
BUSULFEX,phenytoin,mechanism
acetaminophen,BUSULFEX,mechanism
DISULFIRAM,PHENYTOIN,advise
DISULFIRAM,PHENYTOIN,effect
anticoagulants,disulfiram,advise
isoniazid,disulfiram,advise
disulfiram,nitrite,effect
disulfiram,nitrites,effect
naltrexone,Acamprosate,mechanism
Acamprosate,antidepressants,effect
Chlorthalidone,antihypertensive drugs,effect
Chlorthalidone,tubocurarine,effect
Chlorthalidone,norepinephrine,effect
cholestyramine,vitamin K,mechanism
colestipol,vitamin K,mechanism
mineral oil,vitamin K,mechanism
Orlistat,vitamin K,mechanism
Vitamin K,warfarin,effect
steroid,bitolterol,advise
bitolterol,steroid,advise
bitolterol,steroid,effect
Antihistamines,tricyclic antidepressants,effect
Antihistamines,barbiturates,effect
Antihistamines,alcohol,effect
Antihistamines,CNS depressants,effect
MAO inhibitors,antihistamines,effect
Sympathomimetic amines,reserpine,effect
Sympathomimetic amines,veratrum alkaloids,effect
Sympathomimetic amines,methyldopa,effect
Sympathomimetic amines,mecamylamine,effect
sympathomimetics,MAO inhibitors,effect
sympathomimetics,beta adrenergic blockers,effect
ALPHAGAN P,CNS depressants,advise
ALPHAGAN P,alcohol,advise
ALPHAGAN P,barbiturates,advise
ALPHAGAN P,opiates,advise
ALPHAGAN P,sedatives,advise
ALPHAGAN P,anesthetics,advise
Tricyclic antidepressants,clonidine,effect
ammonium chloride,amphetamine,mechanism
sodium acid phosphate,amphetamine,mechanism
Adrenergic blockers,amphetamines,effect
Amphetamines,tricyclic antidepressants,effect
Amphetamines,sympathomimetic agents,effect
d-amphetamine,desipramine,mechanism
d-amphetamine,protriptyline,mechanism
d-amphetamine,tricyclics,mechanism
MAOI antidepressants,amphetamine,mechanism
furazolidone,amphetamine,mechanism
Amphetamines,antihistamines,effect
Amphetamines,antihypertensives,effect
Chlorpromazine,amphetamines,effect
Amphetamines,ethosuximide,mechanism
Haloperidol,amphetamines,effect
amphetamines,lithium carbonate,effect
Amphetamines,meperidine,effect
amphetamines,methenamine,mechanism
Amphetamines,norepinephrine,effect
Amphetamines,phenobarbital,mechanism
Amphetamines,phenytoin,mechanism
propoxyphene,amphetamine,effect
Amphetamines,veratrum alkaloids,effect
Anticholinergic agents,digoxin,mechanism
Anticholinergic drugs,metoclopramide,mechanism
antacids,anticholinergic agents,mechanism
Dexbrompheniramine,alcohol,effect
Dexbrompheniramine,CNS depressants,effect
Dexbrompheniramine,anticholinergics,effect
Dexbrompheniramine,monoamine oxidase (MAO) inhibitors,effect
loxapine,lorazepam,effect
tetracyclines,anticoagulant,advise
tetracycline class,penicillins,effect
tetracyclines,contraceptives,effect
levothyroxine sodium,aluminum hydoxide,mechanism
levothyroxine sodium,cholestyramine,mechanism
levothyroxine sodium,colestipol hydrochloride,mechanism
levothyroxine sodium,ferrous sulfate,mechanism
levothyroxine sodium,sodium polystyrene sulfonate,mechanism
levothyroxine sodium,sucralfate,mechanism
levothyroxine sodium,androgens,mechanism
levothyroxine sodium,anabolic hormones,mechanism
levothyroxine sodium,asparaginase,mechanism
levothyroxine sodium,clofibrate,mechanism
levothyroxine sodium,estrogens,mechanism
levothyroxine sodium,estrogen-containing compounds,mechanism
levothyroxine sodium,5-fluorouracil,mechanism
levothyroxine sodium,furosemide,mechanism
levothyroxine sodium,glucocorticoids,mechanism
levothyroxine sodium,meclofenamic acid,mechanism
levothyroxine sodium,mefenamic acid,mechanism
levothyroxine sodium,methadone,mechanism
levothyroxine sodium,perphenazine,mechanism
levothyroxine sodium,phenylbutazone,mechanism
levothyroxine sodium,phenytoin,mechanism
levothyroxine sodium,salicylates,mechanism
levothyroxine sodium,tamoxifen,mechanism
levothyroxine sodium,ketamine,effect
carbonic anhydrase inhibitors,salicylate,int
REVIA,disulfiram,effect
REVIA,thioridazine,effect
REVIA,opioid,effect
REVIA,opioid analgesics,effect
REVIA,opioid,effect
Anafranil,MAO inhibitors,advise
Anafranil,anticholinergic,advise
Anafranil,sympathomimetic drugs,advise
tricyclic antidepressants,guanethidine,effect
tricyclic antidepressants,clonidine,effect
tricyclic antidepressants,CMI,effect
tricyclic antidepressants,tricyclic antidepressants,effect
CMI,haloperidol,mechanism
tricyclic antidepressants,methylphenidate,mechanism
tricyclic antidepressants,cimetidine,mechanism
tricyclic antidepressants,fluoxetine,mechanism
tricyclic antidepressants,barbiturates,mechanism
tricyclic antidepressants,phenytoin,mechanism
methylphenidate,CMI,mechanism
cimetidine,CMI,mechanism
fluoxetine,CMI,mechanism
barbiturates,CMI,mechanism
phenytoin,CMI,mechanism
CMI,phenobarbital,mechanism
Fluvoxamine,TCA,mechanism
SSRI,TCA,int
TCAs,SSRIs,advise
TCA,fluoxetine,advise
Anafranil,warfarin,mechanism
Anafranil,digoxin,mechanism
WelChol,verapamil,mechanism
WelChol,Calan SR,mechanism
atorvastatin,Maalox TC,mechanism
colestipol,atorvastatin,mechanism
atorvastatin,colestipol,effect
atorvastatin,digoxin,mechanism
atorvastatin,erythromycin,mechanism
atorvastatin,contraceptive,mechanism
atorvastatin,norethindrone,mechanism
atorvastatin,ethinyl estradiol,mechanism
contraceptive,atorvastatin,advise
HMG-CoA reductase inhibitor,ketoconazole,advise
HMG-CoA reductase inhibitor,spironolactone,advise
HMG-CoA reductase inhibitor,cimetidine,advise
Femara,tamoxifen,mechanism
aspirin,carbonic anhydrase inhibitors,advise
allopurinol,ampicillin,effect
ampicillin,allopurinol,effect
broad-spectrum antibiotics,contraceptives,effect
AUGMENTIN XR,contraceptives,effect
sulfonylureas,nonsteroidal anti-inflammatory agents,effect
sulfonylureas,salicylates,effect
sulfonylureas,sulfonamides,effect
sulfonylureas,chloramphenicol,effect
sulfonylureas,probenecid,effect
sulfonylureas,coumarins,effect
sulfonylureas,monoamine oxidase inhibitors,effect
sulfonylureas,beta adrenergic blocking agents,effect
glyburide,ciprofloxacin,int
miconazole,hypoglycemic agents,effect
Nafazodone,Xanax,advise
fluvoxamine,Xanax,advise
cimetidine,Xanax,advise
Intestinal adsorbents,Acarbose,mechanism
charcoal,Acarbose,mechanism
amylase,Acarbose,mechanism
pancreatin,Acarbose,mechanism
Acarbose,digoxin,mechanism
metformin,Acarbose,mechanism
Acarbose,metformin,mechanism
labetalol HCl,tricyclic antidepressants,effect
Cimetidine,labetalol HCl,mechanism
halothane,labetalol HCl,effect
labetalol HCl,halothane,effect
Labetalol HCl,nitroglycerin,effect
labetalol HCl,nitroglycerin,effect
labetalol,calcium antagonist,advise
diphenidol,apomorphine,effect
coumarin,fondaparinux,mechanism
benzodiazepines,anticonvulsants,effect
benzodiazepines,antihistamines,effect
benzodiazepines,alcohol,effect
benzodiazepines,barbiturates,effect
benzodiazepines,monoamine oxidase inhibitors,effect
benzodiazepines,narcotics,effect
benzodiazepines,phenothiazines,effect
benzodiazepines,psychotropic medications,effect
estazolam,carbamazepine,mechanism
estazolam,phenytoin,mechanism
estazolam,rifampin,mechanism
estazolam,barbiturates,mechanism
estazolam,estazolam,mechanism
estazolam,ketoconazole,advise
estazolam,itraconazole,advise
benzodiazepines,nefazodone,mechanism
benzodiazepines,fluvoxamine,mechanism
benzodiazepines,cimetidine,mechanism
benzodiazepines,diltiazem,mechanism
benzodiazepines,isoniazide,mechanism
benzodiazepines,macrolide antibiotics,mechanism
Colchicine,vitamin B12,mechanism
para-aminosalicylic acid,vitamin B12,mechanism
alcohol,vitamin B12,mechanism
photosensitizing agents,LEVULAN KERASTICK,effect
griseofulvin,LEVULAN KERASTICK,effect
thiazide diuretics,LEVULAN KERASTICK,effect
sulfonylureas,LEVULAN KERASTICK,effect
phenothiazines,LEVULAN KERASTICK,effect
sulfonamides,LEVULAN KERASTICK,effect
tetracyclines,LEVULAN KERASTICK,effect
ergotamine,FROVA,advise
ergot-type medications,FROVA,advise
dihydroergotamine,FROVA,advise
methysergide,FROVA,advise
Selective serotonin reuptake inhibitors,5-HT1 agonists,effect
SSRIs,5-HT1 agonists,effect
fluoxetine,5-HT1 agonists,effect
fluvoxamine,5-HT1 agonists,effect
paroxetine,5-HT1 agonists,effect
sertraline,5-HT1 agonists,effect
frovatriptan,SSRI,advise
RAPTIVA,immunosuppressive drugs,advise
Acellular,RAPTIVA,advise
live,RAPTIVA,advise
live-attenuated vaccines,RAPTIVA,advise
DIAMOX,phenytoin,mechanism
DIAMOX,phenytoin,mechanism
DIAMOX,primidone,mechanism
DIAMOX,primidone,advise
Acetazolamide,folic acid antagonists,effect
Acetazolamide,amphetamine,mechanism
Acetazolamide,quinidine,mechanism
Acetazolamide,methenamine,effect
Acetazolamide,lithium,mechanism
Acetazolamide,sodium bicarbonate,effect
Acetazolamide,cyclosporine,mechanism
quinolones,aluminum,mechanism
quinolones,magnesium,mechanism
quinolones,calcium,mechanism
quinolones,sucralfate,mechanism
quinolones,iron,mechanism
quinolones,multivitamins,mechanism
quinolones,iron,mechanism
quinolones,zinc,mechanism
quinolones,VIDEX,mechanism
quinolones,didanosine,mechanism
Grepafloxacin,caffeine,mechanism
Grepafloxacin,theobromine,mechanism
quinolones,caffeine,mechanism
quinolones,theobromine,mechanism
Grepafloxacin,theophylline,mechanism
grepafloxacin,theophylline,mechanism
theophylline,grepafloxacin,advise
quinolones,warfarin,effect
quinolone antimicrobial,warfarin,advise
grepafloxacin,theophylline,mechanism
quinolones,cyclosporine,mechanism
nonsteroidal anti inflammatory drug,quinolone,effect
quinolones,antidiabetic agent,effect
Furosemide,aminoglycoside antibiotics,effect
Furosemide,ethacrynic acid,advise
salicylates,furosemide,effect
Furosemide,tubocurarine,effect
Furosemide,succinylcholine,effect
Lithium,diuretics,advise
Furosemide,antihypertensive drugs,effect
Furosemide,norepinephrine,effect
sucralfate,furosemide,effect
furosemide,sucralfate,advise
furosemide,acetylsalicylic acid,effect
furosemide,NSAIDs,effect
indomethacin,furosemide,effect
indomethacin,furosemide,advise
diflunisal,indomethacin,mechanism
INDOCIN,diflunisal,effect
diflunisal,INDOCIN,advise
aspirin,indomethacin,mechanism
INDOCIN,NSAIDs,advise
INDOCIN,anticoagulant,advise
anticoagulants,INDOCIN,effect
INDOCIN,anticoagulants,advise
INDOCIN,probenecid,mechanism
INDOCIN,methotrexate,advise
INDOCIN,methotrexate,mechanism
non-steroidal anti-inflammatory drugs,cyclosporine,effect
NSAIDs,cyclosporine,advise
INDOCIN,lithium,mechanism
INDOCIN,lithium,advise
INDOCIN,digoxin,mechanism
INDOCIN,digoxin,advise
INDOCIN,loop,effect
INDOCIN,potassium-sparing,effect
INDOCIN,thiazide diuretics,effect
triamterene,INDOCIN,effect
INDOCIN,triamterene,advise
INDOCIN,potassium-sparing diuretics,effect
diuretics,INDOCIN,effect
beta-adrenoceptor blocking agents,non-steroidal antiinflammatory drugs,effect
beta-adrenoceptor blocking agents,INDOCIN,effect
INDOCIN,captopril,effect
INDOCIN,losartan,effect
calcium channel blockers,saquinavir,mechanism
dapsone,saquinavir,mechanism
disopyramide,saquinavir,mechanism
quinine,saquinavir,mechanism
amiodarone,saquinavir,mechanism
quinidine,saquinavir,mechanism
warfarin,saquinavir,mechanism
tacrolimus,saquinavir,mechanism
cyclosporine,saquinavir,mechanism
ergot derivatives,saquinavir,mechanism
pimozide,saquinavir,mechanism
carbamazepine,saquinavir,mechanism
fentanyl,saquinavir,mechanism
alfentanyl,saquinavir,mechanism
alprazolam,saquinavir,mechanism
triazolam,saquinavir,mechanism
INVIRASE,ritonavir,advise
phenobarbital,saquinavir,mechanism
phenytoin,saquinavir,mechanism
dexamethasone,saquinavir,mechanism
carbamazepine,saquinavir,mechanism
digoxin,conivaptan,mechanism
digoxin,VAPRISOL,mechanism
beta-blockers,Tiazac,effect
digitalis,Tiazac,effect
diltiazem hydrochloride,propranolol,mechanism
propranolol,diltiazem,mechanism
cimetidine,diltiazem,mechanism
cimetidine,diltiazem,mechanism
diltiazem,cimetidine,advise
diltiazem hydrochloride,digoxin,mechanism
digoxin,diltiazem hydrochloride,advise
anesthetics,calcium channel blockers,effect
anesthetics,calcium channel blockers,advise
diltiazem,cyclosporine,int
cyclosporine,diltiazem,mechanism
cyclosporine,diltiazem,advise
diltiazem,carbamazepine,mechanism
diltiazem,midazolam,mechanism
diltiazem,triazolam,mechanism
midazolam,diltiazem,mechanism
triazolam,diltiazem,mechanism
diltiazem,midazolam,effect
diltiazem,triazolam,effect
diltiazem,lovastatin,mechanism
rifampin,diltiazem,mechanism
diltiazem,rifampin,advise
escitalopram,non-selective MAO inhibitor,advise
MAO inhibitor,escitalopram,advise
acitretin,ethanol,mechanism
acitretin,glibenclamide,effect
acitretin,progestin,effect
progestin,Soriatane,advise
methotrexate,etretinate,effect
methotrexate,acitretin,advise
acitretin,phenytoin,mechanism
acitretin,tetracyclines,effect
vitamin A,acitretin,advise
retinoids,acitretin,advise
benzodiazepines,psychotropic medications,effect
benzodiazepines,anticonvulsants,effect
benzodiazepines,antihistaminics,effect
benzodiazepines,ethanol,effect
alprazolam,psychotropic medications,effect
alprazolam,anticonvulsants,effect
alprazolam,antihistaminics,effect
alprazolam,ethanol,effect
imipramine,alprazolam,mechanism
desipramine,alprazolam,mechanism
fluoxetine,alprazolam,mechanism
propoxyphene,alprazolam,mechanism
contraceptives,alprazolam,mechanism
alprazolam,diltiazem,int
alprazolam,isoniazid,int
alprazolam,macrolide antibiotics,int
alprazolam,erythromycin,int
alprazolam,clarithromycin,int
alprazolam,sertraline,int
alprazolam,paroxetine,int
benzodiazepines,ergotamine,int
benzodiazepines,cyclosporine,int
benzodiazepines,amiodarone,int
benzodiazepines,nicardipine,int
benzodiazepines,nifedipine,int
alprazolam,ergotamine,int
alprazolam,cyclosporine,int
alprazolam,amiodarone,int
alprazolam,nicardipine,int
alprazolam,nifedipine,int
Dipyridamole,adenosine,mechanism
Dipyridamole,cholinesterase inhibitors,effect
Cerubidine,doxorubicin,effect
Cerubidine,doxorubicin,advise
Cyclophosphamide,Cerubidine,effect
Phospholine Iodide,cholinesterase inhibitors,effect
Phospholine Iodide,succinylcholine,effect
Phospholine Iodide,organophosphate,effect
Phospholine Iodide,carbamate insecticide,effect
erythromycin,loratadine,mechanism
lithium,HALDOL,effect
antipsychotic agents,CNS depressants,effect
antipsychotic agents,anesthetics,effect
antipsychotic agents,opiates,effect
antipsychotic agents,alcohol,effect
HALDOL,CNS depressants,effect
HALDOL,anesthetics,effect
HALDOL,opiates,effect
HALDOL,alcohol,effect
haloperidol,rifampin,mechanism
rifampin,haloperidol,mechanism
rifampin,haloperidol,advise
rifampin,MEPRON,mechanism
rifampin,MEPRON,advise
tricyclic antidepressants,cimetidine,mechanism
tricyclic antidepressants,cimetidine,effect
tricyclic antidepressants,cimetidine,mechanism
cimetidine,tricyclic antidepressants,mechanism
tricyclic antidepressants,cimetidine,effect
antidepressants,fluoxetine hydrochloride,mechanism
nortriptyline,fluoxetine hydrochloride,mechanism
reserpine,tricyclic antidepressant,effect
nortriptyline hydrochloride,anticholinergic drugs,advise
nortriptyline hydrochloride,sympathomimetic drugs,advise
tricyclic antidepressants,antidepressants,advise
tricyclic antidepressants,phenothiazines,advise
tricyclic antidepressants,carbamazepine,advise
tricyclic antidepressants,Type 1C antiarrhythmics,advise
tricyclic antidepressants,propafenone,advise
tricyclic antidepressants,flecainide,advise
tricyclic antidepressants,encainide,advise
tricyclic antidepressants,quinidine,advise
cefditoren pivoxil,antacids,advise
famotidine,cefditoren pivoxil,mechanism
b-lactam antibiotics,cefditoren pivoxil,mechanism
probenecid,cefditoren pivoxil,mechanism
Auranofin,gold medication,advise
Auranofin,Solganal,advise
Auranofin,Myochrysine,advise
Auranofin,penicillamine,advise
Auranofin,Depen,advise
Auranofin,Cuprimine,advise
Acetaminophen,synthetic estrogens,mechanism
hormonal contraceptives,acetaminophen,mechanism
Acitretin,progestin,effect
Aminoglutethimide,progestins,mechanism
hormonal contraceptives,coumarin derivatives,effect
Anticonvulsants,ethinyl estradiol,mechanism
Anticonvulsants,progestins,mechanism
carbamazepine,ethinyl estradiol,mechanism
carbamazepine,progestins,mechanism
felbamate,ethinyl estradiol,mechanism
felbamate,progestins,mechanism
phenobarbital,ethinyl estradiol,mechanism
phenobarbital,progestins,mechanism
phenytoin,ethinyl estradiol,mechanism
phenytoin,progestins,mechanism
topiramate,ethinyl estradiol,mechanism
topiramate,progestins,mechanism
ascorbic acid,synthetic estrogens,mechanism
vitamin C,synthetic estrogens,mechanism
Atorvastatin,norethindrone,mechanism
Atorvastatin,ethinyl estradiol,mechanism
hormonal contraceptives,benzodiazepines,mechanism
hormonal contraceptives,alprazolam,mechanism
hormonal contraceptives,chlordiazepoxide,mechanism
hormonal contraceptives,diazepam,mechanism
hormonal contraceptives,lorazepam,mechanism
hormonal contraceptives,oxazepam,mechanism
hormonal contraceptives,temazepam,mechanism
hormonal contraceptives,clofibric acid,mechanism
hormonal contraceptives,cyclosporine,mechanism
Griseofulvin,combination hormonal contraceptives,mechanism
hormonal contraceptives,morphine,mechanism
Nevirapine,combination hormonal contraceptives,mechanism
Ethinyl estradiol,prednisolone,mechanism
Amprenavir,combination hormonal contraceptives,mechanism
lopinavir,combination hormonal contraceptives,mechanism
nelfinavir,combination hormonal contraceptives,mechanism
ritonavir,combination hormonal contraceptives,mechanism
Indinavir,combination hormonal contraceptives,mechanism
Rifampin,ethinyl estradiol,mechanism
Rifampin,progestins,mechanism
Rifampin,norethindrone,mechanism
hormonal contraceptives,salicylic acid,mechanism
Combination hormonal contraceptives,selegiline,mechanism
Ethinyl estradiol,theophylline,mechanism
Tricyclic antidepressants,combination hormonal contraceptives,mechanism
amitriptyline,combination hormonal contraceptives,mechanism
imipramine,combination hormonal contraceptives,mechanism
nortriptyline,combination hormonal contraceptives,mechanism
combination hormonal contraceptives,caffeine,effect
etanercept,anakinra,effect
TNFa-blocking agents,anakinra,effect
REMICADE,anakinra,effect
theophylline,quinolone,mechanism
norfloxacin,theophylline,effect
cyclosporine,norfloxacin,mechanism
Quinolones,anticoagulants,effect
Quinolones,warfarin,effect
norfloxacin,anticoagulants,effect
norfloxacin,warfarin,effect
quinolones,glyburide,effect
norfloxacin,glyburide,effect
probenecid,norfloxacin,mechanism
nitrofurantoin,Norfloxacin,effect
Multivitamins,norfloxacin,advise
iron,norfloxacin,advise
zinc,norfloxacin,advise
antacids,norfloxacin,advise
sucralfate,norfloxacin,advise
Videx,norfloxacin,advise
Didanosine,norfloxacin,advise
quinolones,caffeine,mechanism
isosorbide mononitrate,vasodilators,effect
calcium channel blockers,organic nitrates,effect
Probenecid,cephalosporins,mechanism
eszopiclone,ethanol,effect
eszopiclone,olanzapine,effect
eszopiclone,ketoconazole,mechanism
zopiclone,rifampicin,mechanism
ERGOMAR,triacetyloleandomycin,mechanism
triacetyloleandomycin,ergotamine,mechanism
ERGOMAR,vasoconstrictor drugs,effect
Tagamet,warfarin-type anticoagulants,mechanism
Tagamet,phenytoin,mechanism
Tagamet,propranolol,mechanism
Tagamet,nifedipine,mechanism
Tagamet,chlordiazepoxide,mechanism
Tagamet,diazepam,mechanism
Tagamet,tricyclic antidepressants,mechanism
Tagamet,lidocaine,mechanism
Tagamet,theophylline,mechanism
Tagamet,metronidazole,mechanism
anticoagulant,Tagamet,advise
Tagamet,theophylline,mechanism
Tagamet,Theo-Dur,mechanism
heparin,Activase,effect
vitamin K antagonists,Activase,effect
acetylsalicylic acid,Activase,int
dipyridamole,Activase,effect
Abciximab,Activase,effect
aminoglycoside,antibiotics,effect
aminoglycoside,penicillins,effect
aminoglycoside,cephalosporins,effect
aminoglycoside,penicillin,mechanism
nifedipine,beta-blocking agents,effect
digoxin,nifedipine,int
digoxin,nifedipine,advise
digoxin,digoxin,mechanism
digoxin,nifedipine,advise
quinidine,nifedipine,mechanism
coumarin anticoagulants,nifedipine,effect
cimetidine,nifedipine,mechanism
nifedipine,cimetidine,advise
tetracyclines,anticoagulant,advise
tetracyclines,penicillin,advise
tetracyclines,aluminum,mechanism
tetracyclines,calcium,mechanism
tetracyclines,magnesium,mechanism
tetracyclines,iron,mechanism
tetracycline,bismuth subsalicylate,mechanism
Barbiturates,doxycycline,mechanism
carbamazepine,doxycycline,mechanism
phenytoin,doxycycline,mechanism
tetracycline,Penthrane,effect
tetracycline,methoxyflurane,effect
tetracycline,contraceptives,effect
Clindamycin,neuromuscular blocking agents,effect
clindamycin,erythromycin,effect
decongestants,tricyclic antidepressants,advise
anesthetics,tricyclic antidepressants,advise
sympathomimetic amine,tricyclic antidepressants,advise
epinephrine,tricyclic antidepressants,advise
norepinephrine,tricyclic antidepressants,advise
Imipramine hydrochloride,CNS depressant drugs,effect
imipramine,cimetidine,mechanism
imipramine,fluoxetine,mechanism
imipramine,barbiturates,mechanism
imipramine,phenytoin,mechanism
SSRI,TCA,int
glimepiride,aspirin,advise
glimepiride,salicylate,advise
glimepiride,magnesium/choline salicylate,advise
glimepiride,Trilisate,advise
glimepiride,salsalate,advise
glimepiride,Disalcid,advise
glimepiride,choline salicylate,advise
glimepiride,Arthropan,advise
glimepiride,magnesium salicylate,advise
glimepiride,Magan,advise
glimepiride,bismuth subsalicylate,advise
glimepiride,Pepto-Bismol,advise
dolasetron,cimetidine,mechanism
dolasetron,rifampin,mechanism
dolasetron mesylate,atenolol,mechanism
diflunisal,warfarin,effect
diflunisal,acenocoumarol,effect
diflunisal,phenprocoumon,effect
diflunisal,coumarins,mechanism
diflunisal,anticoagulants,advise
diflunisal,hydrochlorothiazide,mechanism
Diflunisal,hydrochlorothiazide,effect
Diflunisal,furosemide,effect
antacids,diflunisal,mechanism
diflunisal,acetaminophen,mechanism
diflunisal,acetaminophen,advise
diflunisal,acetaminophen,effect
diflunisal,methotrexate,advise
Nonsteroidal anti-inflammatory drugs,methotrexate,mechanism
nonsteroial anti-inflammatory drugs,cyclosporine,mechanism
NSAIDs,cyclosporine,advise
diflunisal,indomethacin,mechanism
indomethacin,diflunisal,effect
indomethacin,diflunisal,advise
diflunisal,NSAIDs,effect
diflunisal,aspirin,mechanism
diflunisal,sulindac,mechanism
diflunisal,naproxen,mechanism
AED,oxcarbazepine,mechanism
phenytoin,Trileptal,mechanism
Trileptal,phenytoin,advise
phenobarbital,Trileptal,mechanism
Trileptal,contraceptive,mechanism
Trileptal,hormonal contraceptives,effect
Trileptal,felodipine,mechanism
Lithium,diuretics,mechanism
EDECRIN,aminoglycoside,effect
EDECRIN,cephalosporin antibiotics,effect
ethacrynic acid,warfarin,mechanism
non- steroidal antiinflammatory agent,loop,effect
non- steroidal antiinflammatory agent,potassium- sparing,effect
non- steroidal antiinflammatory agent,thiazide diuretics,effect
EDECRIN,non- steroidal anti- inflammatory agents,effect
terfenadine,Itraconazole,mechanism
ketoconazole,astemizole,mechanism
itraconazole,astemizole,mechanism
astemizole,itraconazole,advise
ketoconazole,cisapride,mechanism
ketoconazole,cisapride,effect
itraconazole,cisapride,mechanism
Itraconazole,cisapride,advise
Itraconazole,midazolam,mechanism
Itraconazole,triazolam,mechanism
Itraconazole,cyclosporine,mechanism
Itraconazole,tacrolimus,mechanism
Itraconazole,digoxin,mechanism
Cyclosporine,Itraconazole,advise
tacrolimus,Itraconazole,advise
digoxin,Itraconazole,advise
HMG-CoA reductase inhibitors,immunosuppressive drugs,effect
HMG-CoA reductase inhibitors,cyclosporine,effect
Itraconazole,phenytoin,mechanism
